# DVT Execution Times — Full Integration Test Matrix
# Date: 2026-03-01
# Project: trial_18_all_commands/Coke_DB (merged with trial_17 cloud models)
# Total models: 67 | Seeds: 11 (9 small + 2 large 1M-row benchmark) | Tests: 25 | Snapshots: 1
# Targets: pg_docker, mysql_docker, mssql_docker, oracle_docker, mariadb_docker, pg_dev, dbx_dev, disf_dev
# NOTE: sf_dev is READ ONLY — excluded from writes
# NOTE: transactions_b.csv (1M rows) and transactions_c.csv (1M rows) excluded from adapter seed
#       (adapter inserts row-by-row — would take hours). These are seeded via --spark only on pg_dev.
#
# Format: COMMAND | TARGET | RESULT | TIME
# ================================================================================

# PHASE 1: dvt seed (adapter) --full-refresh — 2026-03-01 23:34:10
dvt seed (adapter) --full-refresh                  | pg_docker        | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |     5s
dvt seed (adapter) --full-refresh                  | mysql_docker     | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |     5s
dvt seed (adapter) --full-refresh                  | mssql_docker     | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |     6s
dvt seed (adapter) --full-refresh                  | oracle_docker    | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    11s
dvt seed (adapter) --full-refresh                  | mariadb_docker   | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |     5s
dvt seed (adapter) --full-refresh                  | pg_dev           | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |     5s

# PHASE 2: dvt seed --spark (subsequent, tables exist) — 2026-03-01 23:35:09
dvt seed --spark (subsequent)                      | pg_docker        | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    67s
dvt seed --spark (subsequent)                      | mysql_docker     | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    67s
dvt seed --spark (subsequent)                      | mssql_docker     | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    74s
dvt seed --spark (subsequent)                      | oracle_docker    | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    77s
dvt seed --spark (subsequent)                      | mariadb_docker   | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    64s
dvt seed --spark (subsequent)                      | pg_dev           | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    88s

# PHASE 3: dvt seed --spark --full-refresh — 2026-03-01 23:42:45
dvt seed --spark --full-refresh                    | pg_docker        | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    65s
dvt seed --spark --full-refresh                    | mysql_docker     | PASS=9 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=9            |    60s
